Time_Offset_Sec,H1_Strain_Masked
0.000000,7.469015e-19
0.000244,7.531839e-19
0.000488,7.074909e-19
0.000732,7.007343e-19
0.000977,7.158104e-19
0.001221,6.395376e-19
0.001465,6.358369e-19
0.001709,6.287438e-19
0.001953,5.555479e-19
0.002197,5.594860e-19
0.002441,5.296156e-19
0.002686,4.992877e-19
0.002930,5.264175e-19
0.003174,4.625391e-19
0.003418,4.343427e-19
0.003662,4.449998e-19
0.003906,3.699757e-19
0.004150,3.609211e-19
0.004395,3.532048e-19
0.004639,3.038983e-19
0.004883,3.297339e-19
0.005127,2.885371e-19
0.005371,2.371737e-19
0.005615,2.554246e-19
0.005859,1.902220e-19
0.006104,1.615532e-19
0.006348,1.730857e-19
0.006592,1.179764e-19
0.006836,1.290918e-19
0.007080,1.143475e-19
0.007324,4.882619e-20
0.007568,6.148388e-20
0.007812,1.549654e-20
0.008057,-3.330486e-20
0.008301,-1.093294e-20
0.008545,-5.816463e-20
0.008789,-6.990596e-20
0.009033,-6.359525e-20
0.009277,-1.298681e-19
0.009521,-1.319756e-19
0.009766,-1.580723e-19
0.010010,-2.202097e-19
0.010254,-1.978981e-19
0.010498,-2.278725e-19
0.010742,-2.619414e-19
0.010986,-2.450242e-19
0.011230,-3.005804e-19
0.011475,-3.203838e-19
0.011719,-3.307985e-19
0.011963,-3.981717e-19
0.012207,-3.848325e-19
0.012451,-3.935176e-19
0.012695,-4.422798e-19
0.012939,-4.275837e-19
0.013184,-4.657347e-19
0.013428,-5.001611e-19
0.013672,-5.028868e-19
0.013916,-5.671605e-19
0.014160,-5.681952e-19
0.014404,-5.579237e-19
0.014648,-6.116224e-19
0.014893,-6.078658e-19
0.015137,-6.275332e-19
0.015381,-6.703794e-19
0.015625,-6.728865e-19
0.015869,-7.279509e-19
0.016113,-7.432427e-19
0.016357,-7.199802e-19
0.016602,-7.698097e-19
0.016846,-7.814962e-19
0.017090,-7.869473e-19
0.017334,-8.308781e-19
0.017578,-8.360890e-19
0.017822,-8.821824e-19
0.018066,-9.106086e-19
0.018311,-8.788766e-19
0.018555,-9.185300e-19
